Duchesnean	Chadronian-1	Chadronian-2	Chadronian-3	Chadronian-4	Arikareean-1	Arikareean-2	Arikareean-3	Arikareean-4	Hemingfordian-1	Hemingfordian-2	Barstovian-1	Barstovian-2	Clarendonian-1	Clarendonian-2	Clarendonian-3	Hemphillian-1	Hemphillian-2	Hemphillian-3	Hemphillian-4	Blancan-Early	Blancan-Late	
0	0	0	0	0	0	0	0	0	0	1	4	9	1	10	2	4	5	1	0	3	0	Procamelus
0	0	0	0	0	0	0	2	4	10	1	0	0	0	0	0	0	0	0	0	0	0	Menoceras
0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	Sinclairomeryx
0	0	0	0	0	0	0	0	1	0	1	3	4	0	0	0	0	0	0	0	0	0	Pseudoparablastomeryx
0	0	0	0	0	0	0	0	0	1	2	9	15	1	6	1	0	0	0	0	0	0	Peraceras
0	0	0	0	0	0	0	0	0	1	5	11	13	1	11	5	10	9	8	9	5	0	Teleoceras
0	0	0	0	0	0	0	0	1	4	5	13	10	1	5	0	0	0	0	0	0	0	Blastomeryx
0	0	0	0	0	0	0	0	1	2	4	10	0	0	0	0	0	0	0	0	0	0	Desmatippus
0	0	0	0	0	0	0	0	0	1	3	12	14	1	9	3	8	8	5	3	2	0	Aphelops
0	0	0	0	0	0	0	0	0	0	0	1	1	0	7	7	3	3	1	1	0	0	Hipparion
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4	0	0	Pediomeryx
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	3	0	0	Sphenophalos
0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	5	8	9	6	8	0	0	Neohipparion
0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	1	4	15	13	Nannippus
0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	7	9	7	10	4	0	Dinohippus
0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	1	1	1	1	3	4	Tapirus
0	0	0	0	0	0	0	0	0	2	5	11	6	2	2	1	0	0	0	0	0	0	Paracosoryx
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	5	0	0	0	0	Yumaceras
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	1	1	5	3	Mammut
0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	7	2	2	4	24	16	Hemiauchenia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	2	2	0	Texoceros
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	4	4	Rhynchotherium
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	Odocoileus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40	31	Equus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	14	Stegomastodon
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	17	Camelops
16	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protoreodon
6	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Leptotragulus
4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Simimeryx
0	0	0	1	7	7	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Miohippus
0	0	0	0	0	8	6	7	5	2	0	0	0	0	0	0	0	0	0	0	0	0	Merycoides
2	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eotylopus
0	0	0	0	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Oreodontoides
0	0	0	0	0	0	0	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	Tylocephalonyx
1	2	4	1	0	6	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Leptauchenia
0	0	1	2	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hypisodus
0	0	0	0	0	3	12	7	6	6	1	0	0	0	0	0	0	0	0	0	0	0	Merycochoerus
2	2	3	7	4	1	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	Leptomeryx
0	0	0	0	0	0	1	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	Hypsiops
0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pseudolabis
0	0	0	0	0	0	0	3	4	5	1	0	0	0	0	0	0	0	0	0	0	0	Oxydactylus
0	0	0	0	0	0	0	2	4	2	1	7	0	0	0	0	0	0	0	0	0	0	Moropus
0	0	0	0	0	0	0	0	2	6	2	0	1	0	0	0	0	0	0	0	0	0	Barbouromeryx
0	0	0	0	0	0	0	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0	Problastomeryx
0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	Aletomeryx
0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Arretotherium
0	0	0	0	0	0	0	0	0	1	3	4	2	1	0	0	0	0	0	0	0	0	Homocamelus
0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	Subdromomeryx
0	0	0	0	0	0	0	0	0	1	2	2	3	0	0	0	0	0	0	0	0	0	Lambdoceras
0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	Merriamoceros
0	0	0	0	0	0	0	0	0	0	3	1	4	0	1	0	0	0	0	0	0	0	Submeryceros
0	0	0	0	0	0	0	0	0	0	0	2	5	1	6	1	0	3	0	0	0	0	Protohippus
0	0	0	0	0	0	0	0	0	0	0	2	7	1	6	1	3	4	1	1	0	0	Calippus
1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	Tapiroidea
0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	Zygolophodon
0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	Floridatragulus
0	0	0	0	0	0	0	0	0	0	1	2	3	0	2	0	0	0	0	0	0	0	Nothotylopus
0	0	0	0	0	0	0	0	0	0	0	0	5	1	6	1	0	0	0	0	0	0	Longirostromeryx
0	0	0	0	0	0	0	0	0	0	2	4	9	0	1	0	0	0	0	0	0	0	Meryceros
0	0	0	0	0	0	0	0	0	0	0	0	4	3	8	2	0	0	0	3	1	0	Pseudohipparion
0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	6	1	0	0	0	0	Plioceros
0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	1	0	0	Pseudoceras
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	Neotragocerus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	3	21	12	Platygonus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	2	3	2	0	Pleiolama
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	0	0	0	Amebelodon
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	3	1	0	0	0	Alforjas
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	Gigantocamelus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	Capromeryx
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	5	1	0	Astrohippus
5	5	0	5	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Agriochoerus
6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Poabromylus
4	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hendryomeryx
4	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Colodon
1	4	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bathygenys
3	6	4	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Prodesmatochoerus
0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pseudoprotoceras
0	0	2	5	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Poebrotherium
0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Parvitragulus
2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Toxotherium
3	6	5	5	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hyracodon
2	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Penetrigonias
1	2	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oreonetes
3	5	4	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mesohippus
0	1	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Megacerops
0	1	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trigonias
0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	Blickomylus
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Duchesneodus
1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Aepinacodon
0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	Paratylopus
0	0	0	0	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	0	Prosynthetoceras
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	Ilingoceros
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	Cuvieronius
